63
# x y z 
0.0	0.0	70.2083781
54	60	56	58	0.03	1094.701
55	61	57	59	0.03	855.6537
56	62	58	60	0.03	885.1276
57	63	59	61	0.03	1083.25
58	64	60	62	0.03	1220.0
1	10	4	7	0.03	1357.697
2	11	5	8	0.03	1286.19
3	12	6	9	0.03	1401.194
4	13	7	10	0.03	1297.52
5	14	8	11	0.03	1204.078
6	15	9	12	0.03	874.7361
7	16	10	13	0.03	654.8447
8	17	11	14	0.03	598.296
9	18	12	15	0.03	735.8875
10	19	13	16	0.03	856.7622
11	20	14	17	0.03	800.0
12	21	15	18	0.03	800.0
13	22	16	19	0.03	771.9647
14	23	17	20	0.03	795.0
15	24	18	21	0.03	804.7732
16	25	19	22	0.03	823.4501
17	26	20	23	0.03	793.4579
18	27	21	24	0.03	759.9377
19	28	22	25	0.03	763.4006
20	29	23	26	0.03	841.6532
21	30	24	27	0.03	862.9059
22	31	25	28	0.03	808.8292
23	32	26	29	0.03	822.1843
24	33	27	30	0.03	729.3489
25	34	28	31	0.03	745.9452
26	35	29	32	0.03	808.863
27	36	30	33	0.03	824.5919
28	37	31	34	0.03	731.3597
29	38	32	35	0.03	776.5103
30	39	33	36	0.03	679.7347
31	40	34	37	0.03	735.0
32	41	35	38	0.03	768.6047
33	42	36	39	0.03	767.7243
34	43	37	40	0.03	728.3567
35	44	38	41	0.03	708.7506
36	45	39	42	0.03	759.8217
37	46	40	43	0.03	843.0
38	47	41	44	0.03	927.4192
39	48	42	45	0.03	978.0
40	49	43	46	0.03	1029.0
41	50	44	47	0.03	1081.527
42	51	45	48	0.03	1025.0
43	52	46	49	0.03	987.5542
44	53	47	50	0.03	1040.0
45	54	48	51	0.03	1080.0
46	55	49	52	0.03	1120.0
47	56	50	53	0.03	1157.172
48	57	51	54	0.03	1080.0
49	58	52	55	0.03	1005.069
50	59	53	56	0.03	1078.479
51	60	54	57	0.03	1142.066
52	61	55	58	0.03	1290.923
53	62	56	59	0.03	1137.871
54	63	57	60	0.03	1239.647
55	64	58	61	0.03	1072.748
1	13	5	9	0.03	1496.829
2	14	6	10	0.03	1591.471
3	15	7	11	0.03	1400.297
4	16	8	12	0.03	1043.611
5	17	9	13	0.03	937.9911
6	18	10	14	0.03	745.902
7	19	11	15	0.03	755.0485
8	20	12	16	0.03	879.4523
9	21	13	17	0.03	930.0
10	22	14	18	0.03	980.9545
11	23	15	19	0.03	934.7173
12	24	16	20	0.03	889.9391
13	25	17	21	0.03	871.8407
14	26	18	22	0.03	840.0
15	27	19	23	0.03	838.6639
16	28	20	24	0.03	807.9808
17	29	21	25	0.03	761.7825
18	30	22	26	0.03	817.6694
19	31	23	27	0.03	765.7916
20	32	24	28	0.03	771.9437
21	33	25	29	0.03	720.6599
22	34	26	30	0.03	702.6891
23	35	27	31	0.03	666.7774
24	36	28	32	0.03	682.5815
25	37	29	33	0.03	698.7693
26	38	30	34	0.03	750.0513
27	39	31	35	0.03	748.277
28	40	32	36	0.03	764.0383
29	41	33	37	0.03	780.0
30	42	34	38	0.03	807.2825
31	43	35	39	0.03	815.1193
32	44	36	40	0.03	811.2274
33	45	37	41	0.03	783.6816
34	46	38	42	0.03	792.1014
35	47	39	43	0.03	819.9054
36	48	40	44	0.03	950.0
37	49	41	45	0.03	1047.216
38	50	42	46	0.03	1100.0
39	51	43	47	0.03	1210.556
40	52	44	48	0.03	1199.208
41	53	45	49	0.03	1123.975
42	54	46	50	0.03	1106.992
43	55	47	51	0.03	1129.404
44	56	48	52	0.03	1180.0
45	57	49	53	0.03	1243.108
46	58	50	54	0.03	1197.237
47	59	51	55	0.03	1216.239
48	60	52	56	0.03	1254.313
49	61	53	57	0.03	1282.733
50	62	54	58	0.03	1401.669
51	63	55	59	0.03	1298.372
52	64	56	60	0.03	1407.536
1	16	6	11	0.03	1561.572
2	17	7	12	0.03	1339.594
3	18	8	13	0.03	1069.207
4	19	9	14	0.03	880.3525
5	20	10	15	0.03	838.7946
6	21	11	16	0.03	818.3709
7	22	12	17	0.03	900.0
8	23	13	18	0.03	980.0
9	24	14	19	0.03	1078.744
10	25	15	20	0.03	1050.0
11	26	16	21	0.03	1030.692
12	27	17	22	0.03	980.0
13	28	18	23	0.03	900.0
14	29	19	24	0.03	830.9268
15	30	20	25	0.03	800.0
16	31	21	26	0.03	778.7659
17	32	22	27	0.03	751.5789
18	33	23	28	0.03	642.4993
19	34	24	29	0.03	657.0364
20	35	25	30	0.03	671.2552
21	36	26	31	0.03	641.3184
22	37	27	32	0.03	633.6152
23	38	28	33	0.03	672.4808
24	39	29	34	0.03	663.2784
25	40	30	35	0.03	684.1036
26	41	31	36	0.03	730.3343
27	42	32	37	0.03	750.0
28	43	33	38	0.03	790.4308
29	44	34	39	0.03	844.4624
30	45	35	40	0.03	837.3766
31	46	36	41	0.03	810.2454
32	47	37	42	0.03	835.153
33	48	38	43	0.03	890.0
34	49	39	44	0.03	990.0
35	50	40	45	0.03	1059.378
36	51	41	46	0.03	1150.0
37	52	42	47	0.03	1200.0
38	53	43	48	0.03	1255.938
39	54	44	49	0.03	1253.391
40	55	45	50	0.03	1230.0
41	56	46	51	0.03	1223.81
42	57	47	52	0.03	1175.455
43	58	48	53	0.03	1200.0
44	59	49	54	0.03	1200.0
45	60	50	55	0.03	1259.782
46	61	51	56	0.03	1323.816
47	62	52	57	0.03	1454.952
48	63	53	58	0.03	1496.408
49	64	54	59	0.03	1361.01
1	19	7	13	0.03	1271.882
2	20	8	14	0.03	1058.176
3	21	9	15	0.03	926.3642
4	22	10	16	0.03	890.0
5	23	11	17	0.03	841.6923
6	24	12	18	0.03	934.209
7	25	13	19	0.03	1000.0
8	26	14	20	0.03	1178.401
9	27	15	21	0.03	1150.0
10	28	16	22	0.03	1125.319
11	29	17	23	0.03	1069.381
12	30	18	24	0.03	929.8046
13	31	19	25	0.03	813.0957
14	32	20	26	0.03	775.5057
15	33	21	27	0.03	702.5421
16	34	22	28	0.03	650.1098
17	35	23	29	0.03	596.5965
18	36	24	30	0.03	605.3899
19	37	25	31	0.03	620.0067
20	38	26	32	0.03	628.1973
21	39	27	33	0.03	635.143
22	40	28	34	0.03	652.7023
23	41	29	35	0.03	678.9629
24	42	30	36	0.03	678.0308
25	43	31	37	0.03	750.0
26	44	32	38	0.03	818.8618
27	45	33	39	0.03	826.7487
28	46	34	40	0.03	825.6984
29	47	35	41	0.03	822.5625
30	48	36	42	0.03	886.8036
31	49	37	43	0.03	938.7878
32	50	38	44	0.03	1010.617
33	51	39	45	0.03	1089.465
34	52	40	46	0.03	1201.9
35	53	41	47	0.03	1259.139
36	54	42	48	0.03	1250.468
37	55	43	49	0.03	1284.637
38	56	44	50	0.03	1311.738
39	57	45	51	0.03	1302.605
40	58	46	52	0.03	1178.444
41	59	47	53	0.03	1230.346
42	60	48	54	0.03	1234.045
43	61	49	55	0.03	1248.033
44	62	50	56	0.03	1320.563
45	63	51	57	0.03	1408.006
46	64	52	58	0.03	1557.269
1	22	8	15	0.03	1059.488
2	23	9	16	0.03	900.0
3	24	10	17	0.03	854.1402
4	25	11	18	0.03	860.3967
5	26	12	19	0.03	900.0
6	27	13	20	0.03	1105.257
7	28	14	21	0.03	1140.0
8	29	15	22	0.03	1150.0
9	30	16	23	0.03	1160.502
10	31	17	24	0.03	1082.157
11	32	18	25	0.03	968.5871
12	33	19	26	0.03	838.2496
13	34	20	27	0.03	737.2645
14	35	21	28	0.03	646.9492
15	36	22	29	0.03	610.2196
16	37	23	30	0.03	581.325
17	38	24	31	0.03	581.5753
18	39	25	32	0.03	604.5892
19	40	26	33	0.03	621.5404
20	41	27	34	0.03	630.527
21	42	28	35	0.03	657.2288
22	43	29	36	0.03	678.9637
23	44	30	37	0.03	700.0
24	45	31	38	0.03	759.8373
25	46	32	39	0.03	795.3195
26	47	33	40	0.03	806.4586
27	48	34	41	0.03	846.9056
28	49	35	42	0.03	905.5044
29	50	36	43	0.03	973.0662
