30	# total positions (geophones + shots - duplicates)
#x 	 y 	 # label:
-43.0	0.0	1
0.0	0.0	2
6.0	0.0	3
12.0	0.0	4
18.0	0.0	5
24.0	0.0	6
30.0	0.0	7
33.0	0.0	8
36.0	0.0	9
42.0	0.0	10
48.0	0.0	11
54.0	0.0	12
60.0	0.0	13
66.0	0.0	14
69.0	0.0	15
72.0	0.0	16
78.0	0.0	17
84.0	0.0	18
90.0	0.0	19
96.0	0.0	20
102.0	0.0	21
105.0	0.0	22
108.0	0.0	23
114.0	0.0	24
120.0	0.0	25
126.0	0.0	26
132.0	0.0	27
135.0	0.0	28
138.0	0.0	29
204.0	0.0	30
164	#total picks
# s 	 g 	 t	 err
1	14	0.090961038961	0.001
1	16	0.093066017316	0.001
1	17	0.093908008658	0.001
1	18	0.095591991342	0.001
1	19	0.098538961039	0.001
1	20	0.09895995671	0.001
1	21	0.102748917749	0.001
1	23	0.105274891775	0.001
1	24	0.106537878788	0.001
1	25	0.108642857143	0.001
1	26	0.113273809524	0.001
1	27	0.114536796537	0.001
1	29	0.116220779221	0.001
